"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE991583156386";"WP Schortewitz 8134";"In Betrieb";"Wind";"2500";"2500";"6.12.2004";"6.10.2020";"Sachsen-Anhalt";"06366";"Köthen";"Dessauer Straße (Köthen)";"";"";"";"15082180";"51,666976";"12,043371";"";"";"WP Schortewitz 8134";"80";"80";"Nordex Energy GmbH";"N-80";"";"";"Horizontalläufer";"Windkraft an Land";"10.6.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Volleinspeisung";"SGE995849335140";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL965971679559";"EEG950854502000";"E41081010000000000000000000005601";"6.12.2004";"";"";"";"";"";""
"SEE945729971937";"E 78300-04";"In Betrieb";"Wind";"2300";"2300";"3.2.2006";"2.4.2020";"Sachsen-Anhalt";"06386";"Quellendorf";"";"";"Libbesdorf";"Flur 2 Flurstück 64";"15082377";"51,779988";"12,124266";"";"";"WP Köthen";"113";"71";"ENERCON GmbH";"Enercon E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Köthen GmbH & Co. KG Renditefonds";"ABR904572386534";"Volleinspeisung";"SGE913974162264";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL936156522069";"EEG929298918319";"E41081010000000000000000000013913";"3.2.2006";"";"";"";"";"";""
"SEE976197009617";"16838";"In Betrieb";"Wind";"850";"850";"18.12.2003";"1.10.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt";"Flur 3: Flurstück 24";"15082377";"51";"12";"";"";"Weissandt-Gölzau KG";"74";"52";"Vestas Deutschland GmbH";"V52 - 850 kW";"";"";"Horizontalläufer";"Windkraft an Land";"13.4.2021";"";"";"Weissandt-Gölzau GmbH & Co. KG";"ABR952825515224";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL929439549150";"EEG972598262446";"E41081010000000000000000000013340";"18.12.2003";"";"";"";"";"";""
"SEE969397520174";"S5 Siebenhausen 5";"In Betrieb";"Wind";"2000";"2000";"16.6.2005";"28.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 1 Flurstück 21/2";"15082015";"51,702282";"12,247594";"";"";"WO Wolfen";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.6.2020";"";"";"ENERTRAG Windfeld Bobbau II GmbH & Co. KG";"ABR908137139313";"Volleinspeisung";"SGE967899417633";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL912982902909";"EEG984932507823";"E41081010000000000000000000004399";"16.6.2005";"";"";"";"";"";""
"SEE905113036789";"E53";"In Betrieb";"Wind";"800";"800";"12.11.2010";"15.11.2020";"Sachsen-Anhalt";"06792";"Sandersdorf";"";"";"Brehna";"Glur 6 Flurstück 102";"15082340";"51,581734";"12,225924";"";"";"Brehna II  F3F1";"73";"53";"ENERCON GmbH";"Enercon E53/52.9/800";"";"";"Horizontalläufer";"Windkraft an Land";"10.1.2021";"";"";"KSB Windfeld Brehna Zwei GmbH & Co KG";"ABR912539983405";"Volleinspeisung";"SGE998962472648";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL972435028051";"EEG961175054482";"E41081010000000000000000000005109";"12.11.2010";"";"";"";"";"";""
"SEE902454631826";"R6 Roitzsch 6";"In Betrieb";"Wind";"2000";"2000";"18.8.2006";"23.4.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 45/54";"15082340";"51,576427";"12,232477";"";"";"F3 Freiheit III";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"3.5.2021";"";"";"ENERTRAG Windfeld Wolfsmoor GmbH & Co. KG";"ABR963392833123";"Volleinspeisung";"SGE968107136797";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL920359499273";"EEG993751114211";"E41081010000000000000000000005104";"18.8.2006";"";"";"";"";"";""
"SEE948747779660";"R7 Roitzsch 7";"In Betrieb";"Wind";"2000";"2000";"10.3.2005";"4.5.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 45/52";"15082340";"51,579361";"12,232472";"";"";"F3 Freiheit III";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.5.2020";"";"";"ENERTRAG Windfeld Freiheit III Roitzsch GmbH & Co. KG";"ABR934327682505";"Volleinspeisung";"SGE937211285950";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL903752412650";"EEG968513996527";"E41081010000000000000000000005105";"10.3.2005";"";"";"";"";"";""
"SEE968026554436";"B5 Brehna 5";"In Betrieb";"Wind";"2000";"2000";"22.12.2004";"4.5.2020";"Sachsen-Anhalt";"06796";"Brehna";"";"";"Brehna";"Flur 6 Flurstück 5/6";"15082340";"51,575039";"12,228375";"";"";"F3 Freiheit III";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.5.2020";"";"";"ENERTRAG Windfeld Freiheit III Roitzsch GmbH & Co. KG";"ABR934327682505";"Volleinspeisung";"SGE937211285950";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL990164085831";"EEG906016324867";"E41081010000000000000000000005100";"22.12.2004";"";"";"";"";"";""
"SEE929666496319";"WP Schortewitz 8136";"In Betrieb";"Wind";"2500";"2500";"1.12.2004";"7.10.2020";"Sachsen-Anhalt";"06366";"Köthen";"Dessauer Straße (Köthen)";"";"";"";"15082180";"51,658358";"12,042602";"";"";"WP Schortewitz 8136";"80";"80";"Nordex Energy GmbH";"N-80";"";"";"Horizontalläufer";"Windkraft an Land";"11.6.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Volleinspeisung";"SGE969468933391";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL912681414956";"EEG960846376670";"E41081010000000000000000000005603";"1.12.2004";"";"";"";"";"";""
"SEE910908123155";"E 78308-12";"In Betrieb";"Wind";"2300";"2300";"14.12.2005";"3.4.2020";"Sachsen-Anhalt";"06386";"Quellendorf";"";"";"Quellendorf";"Flur 1 Flurstück 34";"15082377";"51,764747";"12,134062";"";"";"WP Köthen";"113";"71";"ENERCON GmbH";"";"";"";"Horizontalläufer";"Windkraft an Land";"4.6.2021";"";"";"Windpark Köthen GmbH & Co. KG Renditefonds";"ABR904572386534";"Volleinspeisung";"SGE913974162264";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL910336752408";"EEG942326829005";"E41081010000000000000000000013904";"14.12.2005";"";"";"";"";"";""
"SEE949172540757";"R2 Roitzsch 2";"In Betrieb";"Wind";"600";"600";"25.4.1999";"9.11.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 125";"15082340";"51,580907";"12,237141";"";"";"F3 Freiheit III";"70";"48";"DeWind GmbH";"DeWind D4-48/48/600";"";"";"Horizontalläufer";"Windkraft an Land";"25.5.2021";"";"";"ENERTRAG Windfeld Freiheit III GmbH & Co. KG";"ABR975203323204";"Volleinspeisung";"SGE960016883274";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL949331037463";"EEG930567217347";"E41081010000000000000000000004384";"25.4.1999";"";"";"";"";"";""
"SEE926665051815";"R9 Roitzsch 9";"In Betrieb";"Wind";"2000";"2000";"28.12.2004";"4.5.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 45/56";"15082340";"51,573381";"12,232172";"";"";"F3 Freiheit III";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.5.2020";"";"";"ENERTRAG Windfeld Freiheit III Roitzsch GmbH & Co. KG";"ABR934327682505";"Volleinspeisung";"SGE937211285950";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL950315067208";"EEG989841525975";"E41081010000000000000000000005107";"28.12.2004";"";"";"";"";"";""
"SEE907434813131";"Brehna Zwei B2F2";"In Betrieb";"Wind";"800";"800";"7.9.2012";"15.11.2020";"Sachsen-Anhalt";"06796";"Brehna";"";"";"Brehna";"Flur 6 Flurstück 14";"15082340";"51,579249";"12,222894";"";"";"Brehna II";"73";"529";"ENERCON GmbH";"Enercon E53/52.9/800";"";"";"Horizontalläufer";"Windkraft an Land";"10.1.2021";"";"";"KSB Windfeld Brehna Zwei GmbH & Co KG";"ABR912539983405";"Volleinspeisung";"SGE985813264033";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL995050491369";"EEG902526886376";"E41081010000000000000000000005108";"7.9.2012";"";"";"";"";"";""
"SEE962080695562";"WEA04";"In Betrieb";"Wind";"3000";"3000";"24.11.2015";"23.4.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 18 und Flurstück 37";"15082430";"52,00342";"12,127073";"";"";"Windpark Zerbst";"1425";"113";"Siemens Wind Power GmbH & Co. KG";"SWT-3.0-113";"";"";"Horizontalläufer";"Windkraft an Land";"23.4.2020";"";"";"Windpark Zerbst GmbH";"ABR986720739362";"Volleinspeisung";"SGE989231981138";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL953337761765";"EEG976691539801";"E4122001EA01000000000076887300004";"24.11.2015";"";"";"";"";"";""
"SEE916523209052";"R8 Roitzsch 8";"In Betrieb";"Wind";"2000";"2000";"24.12.2004";"4.5.2020";"Sachsen-Anhalt";"06809";"Roitzsch";"";"";"Roitzsch";"Flur 1 Flurstück 45/52";"15082340";"51,577936";"12,228061";"";"";"F3 Freiheit III";"100";"80";"DeWind GmbH";"DeWind D8/80/2000";"";"";"Horizontalläufer";"Windkraft an Land";"4.5.2020";"";"";"ENERTRAG Windfeld Freiheit III Roitzsch GmbH & Co. KG";"ABR934327682505";"Volleinspeisung";"SGE937211285950";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL937126379997";"EEG900077640959";"E41081010000000000000000000005106";"24.12.2004";"";"";"";"";"";""
"SEE958026750730";"G 8373-10";"In Betrieb";"Wind";"850";"850";"28.12.2005";"5.5.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 10, Flurstück 58";"15082430";"52,019968";"12,190593";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"17.3.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964709222005";"EEG905671733458";"E418780200000E0000000007481100020";"28.12.2005";"";"";"";"";"";""
"SEE924005548896";"WP Anhalt-Süd OHG 902";"In Betrieb";"Wind";"1500";"1500";"18.11.2005";"9.10.2020";"Sachsen-Anhalt";"06366";"Köthen";"";"";"Weißandt-Gölzau";"Flur 3 ,Flurstück 1001";"15082180";"51,671667";"12,038889";"";"";"WP Anhalt-Süd OHG 902";"96";"77";"GE Renewable Germany GmbH";"1,5sl";"";"";"Horizontalläufer";"Windkraft an Land";"14.5.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Teileinspeisung";"SGE934975549670";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL948909495476";"EEG970993465660";"E41081010000000000000000000004707";"18.11.2005";"";"";"";"";"";""
"SEE948803626716";"WEA08";"In Betrieb";"Wind";"3000";"3000";"14.12.2015";"23.4.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 18 und Flurstück 34";"15082430";"52,001352";"12,133734";"";"";"Windpark Zerbst";"1425";"113";"Siemens Wind Power GmbH & Co. KG";"SWT-3.0-113";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2020";"";"";"Windpark Zerbst GmbH";"ABR986720739362";"Volleinspeisung";"SGE989231981138";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL953337761765";"EEG937702916615";"E4122001EA01000000000076887300008";"14.12.2015";"";"";"";"";"";""
"SEE983235389822";"WEA01";"In Betrieb";"Wind";"2200";"2200";"8.8.2012";"9.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Domnitz";"Flur 2, Flurstück 58/15";"15082377";"51,620907";"11,824361";"";"";"Neutz";"";"";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL983898226946";"EEG954403051605";"E41081010000000000000000000172686";"8.8.2012";"";"";"";"";"";""
"SEE987937325515";"G 8370-06";"In Betrieb";"Wind";"850";"850";"23.12.2005";"4.5.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 10, Flurstück 58";"15082430";"52,023593";"12,190442";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"14.4.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL943310670887";"EEG925262004743";"E418780200000E0000000007481100060";"26.1.2006";"";"";"";"";"";""
"SEE979996734193";"15758";"In Betrieb";"Wind";"1500";"1500";"20.2.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 114 / 14";"15082256";"51,836671";"11,85877";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"16.2.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL929497413646";"EEG999383140352";"E41081010000000000000000000005251";"20.2.2002";"";"";"";"";"";""
"SEE958059583794";"WEA07";"In Betrieb";"Wind";"3000";"3000";"6.12.2015";"23.4.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 18 und Flurstück 38";"15082430";"52,005077";"12,133423";"";"";"Windpark Zerbst";"1425";"113";"Siemens Wind Power GmbH & Co. KG";"SWT-3.0-113";"";"";"Horizontalläufer";"Windkraft an Land";"28.4.2020";"";"";"Windpark Zerbst GmbH";"ABR986720739362";"Volleinspeisung";"SGE989231981138";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL953337761765";"EEG980155866730";"E4122001EA01000000000076887300007";"6.12.2015";"";"";"";"";"";""
"SEE973830068727";"G 8371-08";"In Betrieb";"Wind";"850";"850";"27.1.2006";"5.5.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 10, Flurstück 101/84";"15082430";"52,025223";"12,183539";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"16.3.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL969255124377";"EEG957484240982";"E418780200000E0000000004877300070";"27.1.2006";"";"";"";"";"";""
"SEE953544161310";"E 53994-01";"In Betrieb";"Wind";"800";"800";"16.12.2009";"5.5.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 9, Flurstück 195";"15082430";"52,022857";"12,174706";"";"";"WP Straguth 2";"65";"70";"ENERCON GmbH";"E-70 E4 - 2.3MW";"";"";"Horizontalläufer";"Windkraft an Land";"8.3.2021";"";"";"Windpark Straguth 2 GmbH & Co. KG";"ABR922292044916";"Volleinspeisung";"SGE901887300149";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL964709222005";"EEG900798632356";"E418780200000E0000000004877300001";"16.12.2009";"";"";"";"";"";""
"SEE904713719511";"WEA05";"In Betrieb";"Wind";"2200";"2200";"18.12.2012";"9.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Wettin-Löbejün";"Flur 2, Flurstück 14/2";"15082377";"51,618572";"11,825911";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL996554072177";"EEG924417292431";"E41081010000000000000000000172695";"18.12.2012";"";"";"";"";"";""
"SEE924473713918";"WEA11";"In Betrieb";"Wind";"3600";"3600";"23.6.2017";"27.4.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur 17 und Flurstück 39/3";"15082430";"51,996118";"12,121185";"";"";"Windpark Zerbst II";"135";"130";"Siemens Wind Power GmbH & Co. KG";"SWT-3.6-130";"";"";"Horizontalläufer";"Windkraft an Land";"2.11.2020";"";"";"Windpark Zerbst GmbH II";"ABR999527521047";"Volleinspeisung";"SGE976476361061";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL953337761765";"EEG963441883031";"E4122001EA01000000000076887300013";"23.6.2017";"";"";"";"";"";""
"SEE945180210064";"WEA09";"In Betrieb";"Wind";"2200";"2200";"21.12.2012";"10.11.2020";"Sachsen-Anhalt";"06420";"Könnern";"";"";"Wettin-Löbejün";"Flur 1, Flurstück 16/18";"15082377";"51,615675";"11,831623";"";"";"Neutz";"103";"928";"eno energy GmbH";"eno 92/2200";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Neutz";"ABR964113303512";"Volleinspeisung";"SGE932559235896";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL924422478073";"EEG989313622898";"E41081010000000000000000000172696";"21.12.2012";"";"";"";"";"";""
"SEE932359131459";"782052";"In Betrieb";"Wind";"2000";"2000";"12.2.2009";"25.6.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur17: 10";"15082430";"51,98277";"12,122278";"";"";"Zerbst";"64";"70";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"2.7.2020";"";"";"Windpark GmbH & Co. Zerbst KG";"ABR942487121239";"Volleinspeisung";"SGE963600354082";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL924544131771";"EEG952053894283";"E418780200000E0000000012304700020";"12.2.2009";"";"";"";"";"";""
"SEE987382915255";"15762";"In Betrieb";"Wind";"1500";"1500";"28.2.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 88 / 6";"15082256";"51,827925";"11,870533";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"18.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG909861039245";"E41081010000000000000000000005259";"28.2.2002";"";"";"";"";"";""
"SEE949012804636";"WEA14";"In Betrieb";"Wind";"3600";"3600";"26.6.2017";"27.4.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Straguth";"Flur 3 und Flurstück 16/2";"15082430";"52,008902";"12,156176";"";"";"Windpark Zerbst II";"135";"130";"Siemens Wind Power GmbH & Co. KG";"SWT-3.6-130";"";"";"Horizontalläufer";"Windkraft an Land";"21.1.2021";"";"";"Windpark Zerbst GmbH II";"ABR999527521047";"Volleinspeisung";"SGE918191051322";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL953337761765";"EEG953464778391";"E4122001EA01000000000076887300012";"26.6.2017";"";"";"";"";"";""
"SEE976929690663";"G 8374-09";"In Betrieb";"Wind";"850";"850";"23.12.2005";"5.5.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 10, Flurstück 105";"15082430";"52,021532";"12,183883";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"29.1.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL964709222005";"EEG980979693192";"E418780200000E0000000007481100010";"27.1.2006";"";"";"";"";"";""
"SEE926515878364";"WEA Schortewitz 15532365";"In Betrieb";"Wind";"1500";"1500";"20.12.2006";"20.7.2020";"Sachsen-Anhalt";"06369";"Weißandt-Gölzau";"";"";"Weißandt-Gölzau";"Flur 4:  247";"15082377";"51,660424";"12,039457";"";"";"WP Schortewitz";"80";"77";"GE Wind Energy GmbH";"GE 1.5sl";"";"";"Horizontalläufer";"Windkraft an Land";"10.5.2021";"";"";"Breeze Three Energy GmbH & Co. KG";"ABR976392029328";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL942893480203";"EEG970759228423";"E41081010000000000000000000015919";"20.12.2006";"";"";"";"";"";""
"SEE951219636507";"B2 Bobbau 2";"In Betrieb";"Wind";"1500";"1500";"14.3.2002";"27.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 6 Flurstück 768";"15082015";"51,699495";"12,220667";"";"";"WO Wolfen";"96";"77";"General Electric Deutschland Holding GmbH";"GE 1.5sl/77/1500";"";"";"Horizontalläufer";"Windkraft an Land";"3.6.2021";"";"";"ENERTRAG Windfeld Bobbau GmbH & Co. KG";"ABR916526146781";"Volleinspeisung";"SGE947736845690";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL999787697766";"EEG913253595158";"E41081010000000000000000000004684";"14.3.2002";"";"";"";"";"";""
"SEE992961835664";"15761";"In Betrieb";"Wind";"1500";"1500";"27.2.2002";"4.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Osternienburger Land";"Flur 3: Flurstück 145 / 79";"15082256";"51,830618";"11,867436";"";"";"Windpark Dornbock";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"15.3.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR945577336469";"Volleinspeisung";"SGE937112966774";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL964222127931";"EEG994027189490";"E41081010000000000000000000005256";"27.2.2002";"";"";"";"";"";""
"SEE992382737264";"782053";"In Betrieb";"Wind";"2000";"2000";"20.2.2009";"25.6.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Zerbst";"Flur17: 10";"15082430";"51,984842";"12,119086";"";"";"Zerbst";"64";"70";"ENERCON GmbH";"E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"29.6.2020";"";"";"Windpark GmbH & Co. Zerbst KG";"ABR942487121239";"Volleinspeisung";"SGE963600354082";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL924544131771";"EEG941143311502";"E418780200000E0000000012304700030";"20.2.2009";"";"";"";"";"";""
"SEE902847117715";"15809";"In Betrieb";"Wind";"1500";"1500";"12.6.2002";"7.12.2020";"Sachsen-Anhalt";"06386";"Osternienburger Land";"";"";"Kleinpaschleben";"Flur 2: Flurstück 57";"15082256";"51,805643";"11,886209";"";"";"Windpark Kleinpaschleben";"65";"705";"Enron Wind GmbH";"Enron Wind 1.5 s";"";"";"Horizontalläufer";"Windkraft an Land";"20.4.2021";"";"";"EOS WP Pobzig GmbH & Co. KG";"ABR968242971130";"Volleinspeisung";"SGE954369089452";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL948573689010";"EEG971626807673";"E41081010000000000000000000005243";"12.6.2002";"";"";"";"";"";""
