"MaStR-Nr. der Einheit";"Anzeige-Name der Einheit";"Betriebs-Status";"Energieträger";"Bruttoleistung der Einheit";"Nettonennleistung der Einheit";"Inbetriebnahmedatum der Einheit";"Registrierungsdatum der Einheit";"Bundesland";"Postleitzahl";"Ort";"Straße";"Hausnummer";"Gemarkung";"Flurstück";"Gemeindeschlüssel";"Koordinate: Breitengrad (WGS84)";"Koordinate: Längengrad (WGS84)";"Anzahl der Solar-Module";"Hauptausrichtung der Solar-Module";"Name des Windparks";"Nabenhöhe der Windenergieanlage";"Rotordurchmesser der Windenergieanlage";"Hersteller der Windenergieanlage";"Typenbezeichnung";"Hauptbrennstoff der Einheit";"Nutzbare Speicherkapazität in kWh";"Technologie der Stromerzeugung";"Lage der Einheit";"Letzte Aktualisierung";"Datum der endgültigen Stilllegung";"Datum der geplanten Inbetriebnahme";"Name des Anlagenbetreibers (nur Org.)";"	MaStR-Nr. des Anlagenbetreibers";"Volleinspeisung oder Teileinspeisung";"MaStR-Nr. der Genehmigung";"Name des Anschluss-Netzbetreibers";"MaStR-Nr. des Anschluss-Netzbetreibers";"Netzbetreiberprüfung";"Spannungsebene";"MaStR-Nr. der Lokation";"MaStR-Nr. der EEG-Anlage";"EEG-Anlagenschlüssel";"Inbetriebnahmedatum der EEG-Anlage";"Zuschlagnummer (EEG/KWK-Ausschreibung)";"MaStR-Nr. der KWK-Anlage";"Inbetriebnahmedatum der KWK-Anlage";"Elektrische KWK-Leistung";"Thermische Nutzleistung in kW";"MaStR-Nr. der zugeordneten Migrationseinheit"
"SEE989045094789";"AN 1300-708-08";"In Betrieb";"Wind";"1300";"1300";"2.5.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau / Fuhne";"Flur: 2, Flurstück: 	37";"15082377";"51,663153";"11,964484";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/62";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL945336595229";"EEG975358164134";"E41081010000000000000000000004344";"2.5.2002";"";"";"";"";"";""
"SEE907817751753";"E 78312-16";"In Betrieb";"Wind";"2300";"2300";"30.12.2005";"4.4.2020";"Sachsen-Anhalt";"06386";"Quellendorf";"";"";"Quellendorf";"Flur 1 Flurstück 1009";"15082377";"51,769741";"12,137597";"";"";"WP Köthen";"113";"71";"ENERCON GmbH";"Enercon E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Köthen GmbH & Co. KG Renditefonds";"ABR904572386534";"Volleinspeisung";"SGE913974162264";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL991655407514";"EEG956876593033";"E41081010000000000000000000013908";"30.12.2005";"";"";"";"";"";""
"SEE909321090380";"G 8368-01";"In Betrieb";"Wind";"850";"850";"10.2.2006";"28.4.2020";"Sachsen-Anhalt";"39264";"Straguth";"";"";"Straguth";"Flur 9, Flurstück 189/0";"15082430";"52,029797";"12,177008";"";"";"WP Straguth";"71";"58";"Gamesa Corporación Tecnológica S.A.";"G58";"";"";"Horizontalläufer";"Windkraft an Land";"16.3.2021";"";"";"Windpark Straguth GmbH & Co. KG";"ABR901211470913";"Volleinspeisung";"SGE950524304095";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Umspannebene Hochspannung/Mittelspannung";"SEL969255124377";"EEG917945637522";"E418780200000E0000000004877300010";"10.2.2006";"";"";"";"";"";""
"SEE907071684026";"B5 Bobbau 5";"In Betrieb";"Wind";"1500";"1500";"13.3.2002";"27.4.2020";"Sachsen-Anhalt";"06766";"Bitterfeld-Wolfen";"";"";"Bobbau";"Flur 6 Flurstück 769";"15082015";"51,700631";"12,226054";"";"";"WO Wolfen";"96";"77";"General Electric Deutschland Holding GmbH";"GE 1.5sl/77/1500";"";"";"Horizontalläufer";"Windkraft an Land";"26.5.2021";"";"";"ENERTRAG Windfeld Bobbau GmbH & Co. KG";"ABR916526146781";"Volleinspeisung";"SGE947736845690";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Mittelspannung";"SEL914209841480";"EEG995903768280";"E41081010000000000000000000004683";"13.3.2002";"";"";"";"";"";""
"SEE991632864910";"WOE_10 18361";"In Betrieb";"Wind";"1650";"1650";"13.1.2004";"6.9.2020";"Sachsen-Anhalt";"06369";"Görzig";"";"";"Wörbzig";"Flur 1: Flurstück 1025";"15082377";"51,71795";"11,91604";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"67";"66";"Vestas Deutschland GmbH";"V66";"";"";"Horizontalläufer";"Windkraft an Land";"19.5.2021";"";"";"Voltwerk Windpark Wörbzig GmbH & Co. KG";"ABR982539478249";"Teileinspeisung";"SGE985816468629";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Hochspannung";"SEL909814627307";"EEG996923933467";"E41081010000000000000000000005003";"13.1.2004";"";"";"";"";"";""
"SEE953222906523";"E 78297-01";"In Betrieb";"Wind";"2300";"2300";"8.2.2006";"31.3.2020";"Sachsen-Anhalt";"06386";"Quellendorf";"";"";"Libbesdorf";"Flur 5 / Flurstück 83";"15082377";"51,78796";"12,110635";"";"";"WP Köthen";"113";"70";"ENERCON GmbH";"Enercon E-70 E4";"";"";"Horizontalläufer";"Windkraft an Land";"12.4.2021";"";"";"Windpark Köthen GmbH & Co. KG Renditefonds";"ABR904572386534";"Volleinspeisung";"SGE913974162264";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Hochspannung";"SEL951013848793";"EEG930172856665";"E41081010000000000000000000013910";"8.2.2006";"";"";"";"";"";""
"SEE901679021771";"AN 1300-693-06";"In Betrieb";"Wind";"1300";"1300";"18.4.2002";"15.9.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur: 2, Flurstück: 	1";"15082377";"51,658422";"11,956472";"";"";"WP Trebbichau";"68";"62";"Siemens Wind Power GmbH & Co. KG";"AN Bonus 1,3MW/64";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL906938265378";"EEG967055951216";"E41081010000000000000000000004346";"18.4.2002";"";"";"";"";"";""
"SEE984499746314";"WEA12";"In Betrieb";"Wind";"3600";"3600";"30.6.2017";"27.4.2020";"Sachsen-Anhalt";"39261";"Zerbst";"";"";"Straguth";"Flur 7 und Flurstück 57/1";"15082430";"52,006686";"12,119137";"";"";"Windpark Zerbst II";"135";"130";"Siemens Wind Power GmbH & Co. KG";"SWT-3.6-130";"";"";"Horizontalläufer";"Windkraft an Land";"21.12.2020";"";"";"Windpark Zerbst GmbH II";"ABR999527521047";"Volleinspeisung";"SGE918191051322";"Avacon Netz GmbH (SNB990362338043)";"SNB990362338043";"Geprüft";"Hochspannung";"SEL953337761765";"EEG992853721372";"E4122001EA01000000000076887300014";"30.6.2017";"";"";"";"";"";""
"SEE945717760574";"WP Anhalt-Süd OHG 906";"In Betrieb";"Wind";"1500";"1500";"18.11.2005";"9.10.2020";"Sachsen-Anhalt";"06366";"Köthen";"";"";"Weißandt-Gölzau";"Flur 1, Flurstück 1028";"15082180";"51,677222";"12,046389";"";"";"WP Anhalt-Süd OHG 906";"96";"77";"GE Renewable Germany GmbH";"1,5sl";"";"";"Horizontalläufer";"Windkraft an Land";"14.5.2021";"";"";"Windpark Anhalt-Süd OHG";"ABR973872434382";"Teileinspeisung";"SGE934975549670";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"Geprüft";"Mittelspannung";"SEL944865620365";"EEG901578035831";"E41081010000000000000000000004706";"18.11.2005";"";"";"";"";"";""
"SEE906930764138";"E 823737-03";"In Betrieb";"Wind";"2300";"2300";"21.12.2011";"4.4.2020";"Sachsen-Anhalt";"06369";"Trebbichau";"";"";"Trebbichau";"Flur 2 Flurstück 60";"15082377";"51,668336";"11,962619";"";"";"WP Trebbichau Erweiterung";"108";"82";"ENERCON GmbH";"E-82 E2 -2.3MW";"";"";"Horizontalläufer";"Windkraft an Land";"7.5.2021";"";"";"Windpark Trebbichau GmbH & Co. KG Renditefonds";"ABR913589203949";"Volleinspeisung";"SGE943470726578";"Mitteldeutsche Netzgesellschaft Strom mbH (SNB916269213931)";"SNB916269213931";"In Prüfung";"Umspannebene Hochspannung/Mittelspannung";"SEL992645447473";"EEG917573908636";"E41081010000000000000000000152888";"21.12.2011";"";"";"";"";"";""
